"Redes de ensino inabilitadas à complementação VAAR 2025 pelo não cumprimento de condicionalidades de melhoria de gestão previstas no art. 14, § 1º, incisos I a V, da Lei nº 14.113/2020, ou por não terem alcançado evolução em indicadores de
atendimento e de melhoria da aprendizagem com redução das desigualdades previstos no art. 14, § 2º da Lei nº 14.113/2020",,,
UF,Ente Federado,Código IBGE,Motivo
BA,CORRENTINA,2909307,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
BA,CRAVOLANDIA,2909505,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,CRUZ DAS ALMAS,2909802,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,CURACA,2909901,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,DARIO MEIRA,2910008,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,DIAS DAVILA,2910057,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,DOM MACEDO COSTA,2910206,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,ENCRUZILHADA,2910404,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,ESPLANADA,2910602,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
BA,EUCLIDES DA CUNHA,2910701,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,EUNAPOLIS,2910727,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,FATIMA,2910750,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
BA,FEIRA DA MATA,2910776,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,FEIRA DE SANTANA,2910800,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
BA,FIRMINO ALVES,2910909,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
BA,FORMOSA DO RIO PRETO,2911105,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,GANDU,2911204,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,GOVERNADOR MANGABEIRA,2911600,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
BA,GUAJERU,2911659,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
BA,GUANAMBI,2911709,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,GUARATINGA,2911808,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
BA,IBIASSUCE,2912004,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,IBICARAI,2912103,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
BA,IBICUI,2912301,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,IBIRAPUA,2912806,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,IBITITA,2913101,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
BA,ILHEUS,2913606,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
BA,INHAMBUPE,2913705,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
BA,IPIAU,2913903,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,IPIRA,2914000,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
BA,IRAQUARA,2914406,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
BA,ITABELA,2914653,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
BA,ITABERABA,2914703,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,ITABUNA,2914802,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
BA,ITACARE,2914901,"Não cumprimento do disposto no art. 14, § 1º, III e V da Lei nº 14113/2020"
BA,ITAGIBA,2915205,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,ITAGIMIRIM,2915304,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,ITAJU DO COLONIA,2915403,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,ITAMARAJU,2915601,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,ITANHEM,2916005,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,ITAPEBI,2916302,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
BA,ITAPICURU,2916500,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
BA,ITUACU,2917201,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,ITUBERA,2917300,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,IUIU,2917334,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
BA,JABORANDI,2917359,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,JACARACI,2917409,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,JACOBINA,2917508,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,JANDAIRA,2917904,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
BA,JEQUIE,2918001,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
BA,JIQUIRICA,2918209,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
BA,JUAZEIRO,2918407,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,JUSSIAPE,2918605,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
BA,LAURO DE FREITAS,2919207,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,LUIS EDUARDO MAGALHAES,2919553,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,MACARANI,2919702,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,MACAUBAS,2919801,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,MADRE DE DEUS,2919926,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,MAIQUINIQUE,2920007,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,MARCIONILIO SOUZA,2920809,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,MEDEIROS NETO,2921104,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
BA,MILAGRES,2921302,"Não cumprimento do disposto no art. 14, § 1º, I, II e V da Lei nº 14113/2020"
BA,MIRANGABA,2921401,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
