"Redes de ensino inabilitadas à complementação VAAR 2025 pelo não cumprimento de condicionalidades de melhoria de gestão previstas no art. 14, § 1º, incisos I a V, da Lei nº 14.113/2020, ou por não terem alcançado evolução em indicadores de
atendimento e de melhoria da aprendizagem com redução das desigualdades previstos no art. 14, § 2º da Lei nº 14.113/2020",,,
UF,Ente Federado,Código IBGE,Motivo
PB,MOGEIRO,2509404,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PB,NATUBA,2509909,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PB,NOVA FLORESTA,2510105,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PB,NOVA OLINDA,2510204,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
PB,PARAÍBA,25,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PB,PASSAGEM,2510709,"Não cumprimento do disposto no art. 14, § 1º, I, II e V da Lei nº 14113/2020"
PB,PEDRAS DE FOGO,2511202,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PB,PEDRO REGIS,2512721,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PB,PIANCO,2511301,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PB,PIRPIRITUBA,2511806,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
PB,PITIMBU,2511905,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
PB,POMBAL,2512101,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PB,QUIXABA,2512606,"Não cumprimento do disposto no art. 14, § 1º, I, II e V da Lei nº 14113/2020"
PB,REMIGIO,2512705,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
PB,RIACHAO,2512747,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
PB,RIACHAO DO BACAMARTE,2512754,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PB,RIACHAO DO POCO,2512762,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PB,RIACHO DOS CAVALOS,2512804,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PB,SALGADINHO,2513000,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PB,SANTA HELENA,2513307,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PB,SANTA RITA,2513703,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
PB,SANTANA DE MANGUEIRA,2513505,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PB,SANTANA DOS GARROTES,2513604,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
PB,SANTO ANDRE,2513851,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PB,SAO BENTINHO,2513927,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
PB,SAO BENTO,2513901,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PB,SAO FRANCISCO,2513984,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PB,SAO JOSE DE CAIANA,2514305,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PB,SAO JOSE DE PRINCESA,2514552,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PB,SAO JOSE DO BREJO DO CRUZ,2514651,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
PB,SAO MAMEDE,2514909,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PB,SAO SEBASTIAO DE LAGOA DE ROCA,2515104,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
PB,SAO VICENTE DO SERIDO,2515401,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PB,SAPE,2515302,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PB,SERRA DA RAIZ,2515609,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PB,SERRARIA,2515906,"Não cumprimento do disposto no art. 14, § 1º, V da Lei nº 14113/2020"
PB,SOBRADO,2515971,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
PB,SOLANEA,2516003,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
PB,SOLEDADE,2516102,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PB,SOSSEGO,2516151,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
PB,TACIMA,2516409,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
PB,VISTA SERRANA,2505501,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PB,ZABELE,2517407,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PE,ABREU E LIMA,2600054,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,ALAGOINHA,2600609,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PE,ALIANCA,2600708,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,ALTINHO,2600807,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PE,ARACOIABA,2601052,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,ARARIPINA,2601102,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,ARCOVERDE,2601201,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,BARRA DE GUABIRABA,2601300,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,BELEM DO SAO FRANCISCO,2601607,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,BELO JARDIM,2601706,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,BEZERROS,2601904,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,BODOCO,2602001,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
PE,BONITO,2602308,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,BREJAO,2602407,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PE,BREJINHO,2602506,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,BREJO DA MADRE DE DEUS,2602605,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,BUENOS AIRES,2602704,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PE,CAETES,2603207,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,CALCADO,2603306,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,CAMARAGIBE,2603454,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,CAMOCIM DE SAO FELIX,2603504,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,CAMUTANGA,2603603,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
PE,CARUARU,2604106,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,CEDRO,2604304,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PE,CONDADO,2604601,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,CORTES,2604809,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,DORMENTES,2605152,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,FEIRA NOVA,2605400,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,FLORESTA,2605707,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,FREI MIGUELINHO,2605806,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,GARANHUNS,2606002,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,GLORIA DO GOITA,2606101,"Não cumprimento do disposto no art. 14, § 1º, I e II da Lei nº 14113/2020"
PE,GRANITO,2606309,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
PE,GRAVATA,2606408,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,IATI,2606507,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,IBIMIRIM,2606606,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,IGUARACY,2606903,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
PE,INAJA,2607000,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,IPUBI,2607307,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,ITACURUBA,2607406,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,ITAIBA,2607505,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,ITAMBE,2607653,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,ITAPETIM,2607703,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PE,ITAPISSUMA,2607752,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,ITAQUITINGA,2607802,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,JABOATAO DOS GUARARAPES,2607901,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,JATOBA,2608057,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
PE,JOAO ALFREDO,2608107,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,JUCATI,2608255,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,JUPI,2608305,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
PE,MACAPARANA,2609006,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,MACHADOS,2609105,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,MOREILANDIA,2614303,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PE,OLINDA,2609600,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,OROBO,2609709,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,OURICURI,2609907,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
PE,PALMARES,2610004,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,PAULISTA,2610707,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,PEDRA,2610806,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,PERNAMBUCO,26,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
PE,PESQUEIRA,2610905,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,PETROLANDIA,2611002,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,PETROLINA,2611101,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,POCAO,2611200,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,POMBOS,2611309,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
PE,RECIFE,2611606,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,SALGADINHO,2612109,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
PE,SANHARO,2612406,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,SANTA CRUZ,2612455,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,SANTA CRUZ DO CAPIBARIBE,2612505,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,SAO BENEDITO DO SUL,2612901,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
PE,SAO BENTO DO UNA,2613008,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,SAO JOSE DA COROA GRANDE,2613404,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,SERRITA,2614006,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,TAMANDARE,2614857,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,TAQUARITINGA DO NORTE,2615003,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,TEREZINHA,2615102,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,TORITAMA,2615409,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
PE,TRACUNHAEM,2615508,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,TRINDADE,2615607,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PE,VICENCIA,2616308,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,ACAUA,2200053,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,AGRICOLANDIA,2200103,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,AROAZES,2200905,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,AROEIRAS DO ITAIM,2200954,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,ASSUNCAO DO PIAUI,2201051,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,AVELINO LOPES,2201101,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,BARREIRAS DO PIAUI,2201309,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
PI,BARRO DURO,2201408,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,BERTOLINIA,2201705,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,BOA HORA,2201770,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,CABECEIRAS DO PIAUI,2202059,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,CAMPO LARGO DO PIAUI,2202174,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,CANAVIEIRA,2202251,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
PI,CANTO DO BURITI,2202307,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,CAPITAO DE CAMPOS,2202406,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,CARACOL,2202505,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
PI,CARAUBAS DO PIAUI,2202539,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PI,CASTELO DO PIAUI,2202604,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,CAXINGO,2202653,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,COCAL DE TELHA,2202711,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,COIVARAS,2202737,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,CORONEL JOSE DIAS,2202851,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PI,DIRCEU ARCOVERDE,2203354,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
PI,ELISEU MARTINS,2203602,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
PI,FLORES DO PIAUI,2203800,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PI,FRANCISCO AYRES,2204105,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PI,GUADALUPE,2204501,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PI,HUGO NAPOLEAO,2204600,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,JATOBA DO PIAUI,2205276,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,JERUMENHA,2205300,"Não cumprimento do disposto no art. 14, § 1º, II e III da Lei nº 14113/2020"
PI,JOAQUIM PIRES,2205409,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,JOCA MARQUES,2205458,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,JUAZEIRO DO PIAUI,2205516,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,JULIO BORGES,2205524,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,JUREMA,2205532,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,LAGOA ALEGRE,2205557,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,LAGOA DO BARRO DO PIAUI,2205565,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,LAGOINHA DO PIAUI,2205540,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,LUIS CORREIA,2205706,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
PI,MARCOS PARENTE,2206001,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,MASSAPE DO PIAUI,2206050,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
PI,MONSENHOR GIL,2206407,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,MONSENHOR HIPOLITO,2206506,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,MURICI DOS PORTELAS,2206696,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,NAZARIA,2206720,"Não cumprimento do disposto no art. 14, § 1º, I, II e V da Lei nº 14113/2020"
PI,NOSSA SENHORA DOS REMEDIOS,2206803,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
PI,NOVA SANTA RITA,2207959,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
PI,NOVO ORIENTE DO PIAUI,2206902,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
PI,OEIRAS,2207009,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,PARNAIBA,2207702,"Não cumprimento do disposto no art. 14, § 1º, I, II e III da Lei nº 14113/2020"
PI,PAULISTANA,2207801,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,PIMENTEIRAS,2208106,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
PI,PIO IX,2208205,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,SANTA CRUZ DO PIAUI,2209104,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,SANTA CRUZ DOS MILAGRES,2209153,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,SANTA LUZ,2209302,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,SANTA ROSA DO PIAUI,2209377,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
PI,SANTO ANTONIO DE LISBOA,2209401,"Não cumprimento do disposto no art. 14, § 1º, II da Lei nº 14113/2020"
PI,SAO FELIX DO PIAUI,2209609,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,SAO GONCALO DO PIAUI,2209807,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
PI,SAO JOAO DA FRONTEIRA,2209872,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,SAO MIGUEL DO TAPUIO,2210409,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,SIMPLICIO MENDES,2210805,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,TANQUE DO PIAUI,2210979,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PI,TERESINA,2211001,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,ABATIA,4100103,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
PR,ADRIANOPOLIS,4100202,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
PR,ALMIRANTE TAMANDARE,4100400,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,ALTO PARAISO,4128625,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
PR,AMAPORA,4100905,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,AMPERE,4101002,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,ANAHY,4101051,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,ANGULO,4101150,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020"
PR,ANTONINA,4101200,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,APUCARANA,4101408,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,ARAPOTI,4101606,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,ARAPUA,4101655,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,ARAUCARIA,4101804,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,ARIRANHA DO IVAI,4101853,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,BANDEIRANTES,4102406,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,BARRA DO JACARE,4102703,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
PR,BARRACAO,4102604,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,BELA VISTA DO PARAISO,4102802,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,BOA ESPERANCA,4103008,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,BOCAIUVA DO SUL,4103107,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,BOM SUCESSO,4103206,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
PR,BORRAZOPOLIS,4103305,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,BRAGANEY,4103354,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,CALIFORNIA,4103503,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,CAMBARA,4103602,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,CAMBE,4103701,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,CAMPO DO TENENTE,4104105,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
PR,CAMPO MAGRO,4104253,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,CAMPO MOURAO,4104303,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
PR,CAPITAO LEONIDAS MARQUES,4104600,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,CARLOPOLIS,4104709,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,CATANDUVAS,4105003,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,CEU AZUL,4105300,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,CIANORTE,4105508,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PR,COLOMBO,4105805,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,COLORADO,4105904,"Não cumprimento do disposto no art. 14, § 1º, V da Lei nº 14113/2020"
PR,CORNELIO PROCOPIO,4106407,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,CORONEL DOMINGOS SOARES,4106456,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,CORONEL VIVIDA,4106506,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,CRUZEIRO DO OESTE,4106605,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,CRUZMALTINA,4106852,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020"
PR,CURITIBA,4106902,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,DOIS VIZINHOS,4107207,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PR,DOURADINA,4107256,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,DOUTOR CAMARGO,4107306,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,DOUTOR ULYSSES,4128633,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,ENEAS MARQUES,4107405,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,FAROL,4107553,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,FAXINAL,4107603,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.
PR,FAZENDA RIO GRANDE,4107652,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,FENIX,4107702,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
PR,FIGUEIRA,4107751,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
PR,FLORAI,4107801,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
PR,FLORESTA,4107900,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,FLORESTOPOLIS,4108007,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020"
PR,FOZ DO JORDAO,4108452,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020"
