UF,Código IBGE,Entidade,"Receita da contribuição de estados e
municípios ao Fundeb","Complementação
VAAF","Complementação
VAAT","Complementação
VAAR","Complementação da
União Total","Total das receitas
previstas"
PB,2516102,SOLEDADE,"1 7.362.491,87","1 .309.919,68","5.347.773,61",-,"6 .657.693,29","24.020.185,16"
PB,2516151,SOSSEGO,"5 .489.124,87","414.129,07","1 .696.324,34",-,"2 .110.453,41","7.599.578,28"
PB,2516201,SOUSA,"3 7.439.822,22","2 .824.661,36","7.140.662,53","2.945.847,60","12.911.171,49","50.350.993,71"
PB,2516300,SUME,"1 6.000.190,28","1 .207.140,32","3.486.431,03","1.205.191,95","5 .898.763,30","21.898.953,58"
PB,2516409,TACIMA,"9 .877.403,61","745.204,40","2 .807.561,15",-,"3 .552.765,55","13.430.169,16"
PB,2516508,TAPEROA,"1 5.402.139,07","1 .162.020,13","7.031.070,57","1.071.301,24","9 .264.391,94","24.666.531,01"
PB,2516607,TAVARES,"1 4.638.953,15","1 .104.441,28","3.973.997,15","1.160.079,38","6 .238.517,81","20.877.470,96"
PB,2516706,TEIXEIRA,"1 9.801.851,36","1 .493.958,06","8.370.497,70","1.189.718,09","11.054.173,85","30.856.025,21"
PB,2516755,TENORIO,"4 .068.587,68","306.956,12","169.117,04","157.787,78","6 33.860,94","4.702.448,62"
PB,2516805,TRIUNFO,"1 5.860.125,64","1 .196.573,10","6.765.171,35","1.030.150,12","8 .991.894,57","24.852.020,21"
PB,2516904,UIRAUNA,"2 0.081.637,97","1 .515.066,67","4.346.857,20","1.526.574,27","7 .388.498,14","27.470.136,11"
PB,2517001,UMBUZEIRO,"1 8.938.639,81","1 .428.832,75","8.430.249,56","6 18.262,45","1 0.477.344,76","29.415.984,57"
PB,2517100,VARZEA,"2 .547.060,56","192.163,93",-,"2 02.170,98","3 94.334,91","2.941.395,47"
PB,2517209,VIEIROPOLIS,"5 .785.068,76","436.456,67","2 .218.069,77","4 19.977,25","3.074.503,69","8.859.572,45"
PB,2505501,VISTA SERRANA,"5 .451.691,93","411.304,93","2 .057.379,28",-,"2 .468.684,21","7.920.376,14"
PB,2517407,ZABELE,"3 .462.828,60","261.254,40","311.101,75",-,"5 72.356,15","4.035.184,75"
PB,25,GOVERNO DO ESTADO,"1 .713.395.090,28","129.267.731,79",-,-,"1 29.267.731,79","1.842.662.822,07"
PE,2600054,ABREU E LIMA,"4 3.451.463,43","4 .875.128,16","1 0.336.150,44",-,"1 5.211.278,60","58.662.742,03"
PE,2600104,AFOGADOS DA INGAZEIRA,"4 2.271.546,37","4 .742.744,89","1 3.587.313,80","3 .458.362,85","21.788.421,54","64.059.967,91"
PE,2600203,AFRANIO,"1 7.857.888,27","2 .003.603,27","4.024.500,09","1.400.796,33","7 .428.899,69","25.286.787,96"
PE,2600302,AGRESTINA,"2 3.758.273,10","2 .665.609,33","6.720.175,80","1.037.982,60","10.423.767,73","34.182.040,83"
PE,2600401,AGUA PRETA,"2 4.302.277,73","2 .726.645,07","4.723.966,77","1.862.714,72","9 .313.326,56","33.615.604,29"
PE,2600500,AGUAS BELAS,"4 1.888.422,63","4 .699.759,52","9.553.682,54","3.362.233,20","17.615.675,26","59.504.097,89"
PE,2600609,ALAGOINHA,"1 5.559.973,33","1 .745.783,87","3.629.506,75",-,"5 .375.290,62","20.935.263,95"
PE,2600708,ALIANCA,"3 3.286.539,83","3 .734.653,22","1 0.548.073,67",-,"1 4.282.726,89","47.569.266,72"
PE,2600807,ALTINHO,"1 4.420.768,89","1 .617.968,44","3.622.587,81",-,"5 .240.556,25","19.661.325,14"
PE,2600906,AMARAJI,"1 7.039.327,38","1 .911.763,11","2.936.414,82","1.352.663,23","6 .200.841,16","23.240.168,54"
PE,2601003,ANGELIM,"1 1.582.810,66","1 .299.557,76","2.602.370,65","5 40.323,55","4.442.251,96","16.025.062,62"
PE,2601052,ARACOIABA,"2 2.637.234,44","2 .539.832,05","6.021.027,73",-,"8 .560.859,78","31.198.094,22"
PE,2601102,ARARIPINA,"8 0.873.520,67","9 .073.774,44","3 1.509.206,75",-,"4 0.582.981,19","121.456.501,86"
PE,2601201,ARCOVERDE,"4 6.327.817,67","5 .197.846,77","1 0.821.514,83",-,"1 6.019.361,60","62.347.179,27"
PE,2601300,BARRA DE GUABIRABA,"1 2.340.370,58","1 .384.553,78","3.098.770,46",-,"4 .483.324,24","16.823.694,82"
PE,2601409,BARREIROS,"4 2.602.019,40","4 .779.823,01","1 2.807.469,79","3 .227.151,88","20.814.444,68","63.416.464,08"
PE,2601508,BELEM DE MARIA,"1 4.167.930,05","1 .589.600,66","5.573.061,48","1.109.215,15","8 .271.877,29","22.439.807,34"
PE,2601607,BELEM DO SAO FRANCISCO,"1 6.950.552,21","1 .901.802,79","5.454.073,24",-,"7 .355.876,03","24.306.428,24"
PE,2601706,BELO JARDIM,"6 9.002.058,84","7 .741.830,86","2 4.682.014,18",-,"3 2.423.845,04","101.425.903,88"
PE,2601805,BETANIA,"1 6.955.953,10","1 .902.408,76","8.158.935,96","1.424.798,67","11.486.143,39","28.442.096,49"
PE,2601904,BEZERROS,"4 2.562.580,68","4 .775.398,10","1 3.959.879,83",-,"1 8.735.277,93","61.297.858,61"
PE,2602001,BODOCO,"3 4.744.021,41","3 .898.178,43","9.742.613,51",-,"1 3.640.791,94","48.384.813,35"
PE,2602100,BOM CONSELHO,"4 1.814.340,63","4 .691.447,73","8.337.855,28","3.331.885,17","16.361.188,18","58.175.528,81"
PE,2602209,BOM JARDIM,"3 5.145.252,96","3 .943.195,44","1 1.355.871,78","2 .777.977,97","18.077.045,19","53.222.298,15"
PE,2602308,BONITO,"3 7.181.645,77","4 .171.672,81","9.675.374,53",-,"1 3.847.047,34","51.028.693,11"
PE,2602407,BREJAO,"1 4.646.897,30","1 .643.339,39","5.344.976,31",-,"6 .988.315,70","21.635.213,00"
PE,2602506,BREJINHO,"9 .634.991,20","1.081.018,07","2.843.280,80",-,"3 .924.298,87","13.559.290,07"
UF,Código IBGE,Entidade,"Receita da contribuição de estados e
municípios ao Fundeb","Complementação
VAAF","Complementação
VAAT","Complementação
VAAR","Complementação da
União Total","Total das receitas
previstas"
PE,2602605,BREJO DA MADRE DE DEUS,"5 1.413.531,01","5 .768.449,05","1 8.960.793,51",-,"2 4.729.242,56","76.142.773,57"
PE,2602704,BUENOS AIRES,"1 2.995.340,89","1 .458.039,56","3.922.799,14",-,"5 .380.838,70","18.376.179,59"
PE,2602803,BUIQUE,"5 5.165.132,13","6 .189.367,82","1 8.668.229,55","4 .117.561,68","28.975.159,05","84.140.291,18"
PE,2602902,CABO DE SANTO AGOSTINHO,"1 92.191.511,52","21.563.330,14",-,"1 6.210.774,94","3 7.774.105,08","229.965.616,60"
PE,2603009,CABROBO,"3 4.032.277,07","3 .818.322,78","1 8.252.309,21","1 .348.390,19","23.419.022,18","57.451.299,25"
PE,2603108,CACHOEIRINHA,"1 3.834.863,61","1 .552.231,57","2.979.694,53","5 91.669,15","5.123.595,25","18.958.458,86"
PE,2603207,CAETES,"3 2.788.381,18","3 .678.761,26","1 1.759.024,77",-,"1 5.437.786,03","48.226.167,21"
PE,2603306,CALCADO,"1 1.089.994,06","1 .244.265,17","2.108.116,04",-,"3 .352.381,21","14.442.375,27"
PE,2603405,CALUMBI,"8 .509.203,18","954.707,92","2 .859.883,57","3 50.082,92","4.164.674,41","12.673.877,59"
PE,2603454,CAMARAGIBE,"6 0.820.380,26","6 .823.870,25",-,-,"6 .823.870,25","67.644.250,51"
PE,2603504,CAMOCIM DE SAO FELIX,"1 5.987.436,54","1 .793.744,01","4.743.799,09",-,"6 .537.543,10","22.524.979,64"
PE,2603603,CAMUTANGA,"7 .416.172,46","832.073,04","432.373,43",-,"1 .264.446,47","8.680.618,93"
PE,2603702,CANHOTINHO,"2 6.497.018,66","2 .972.888,64","7.873.659,37","1.099.282,30","11.945.830,31","38.442.848,97"
PE,2603801,CAPOEIRAS,"2 2.763.833,89","2 .554.036,13","1 0.155.233,06","955.277,91","1 3.664.547,10","36.428.380,99"
PE,2603900,CARNAIBA,"2 9.283.268,00","3 .285.497,73","1 5.023.383,72","2 .065.903,88","20.374.785,33","49.658.053,33"
PE,2603926,CARNAUBEIRA DA PENHA,"9 .605.553,69","1.077.715,26","1.143.232,11","7 97.067,10","3.018.014,47","12.623.568,16"
PE,2604007,CARPINA,"5 1.930.894,25","5 .826.495,71","2 0.588.591,68","4 .154.260,41","30.569.347,80","82.500.242,05"
PE,2604106,CARUARU,"3 20.943.785,34","36.008.961,82","88.417.184,76",-,"1 24.426.146,58","445.369.931,92"
PE,2604155,CASINHAS,"1 8.736.994,16","2 .102.236,40","9.269.182,47","1.651.201,83","13.022.620,70","31.759.614,86"
PE,2604205,CATENDE,"2 6.756.143,34","3 .001.961,68","7.205.520,38","1.109.985,71","11.317.467,77","38.073.611,11"
PE,2604304,CEDRO,"1 0.577.318,06","1 .186.744,41","3.042.599,27",-,"4 .229.343,68","14.806.661,74"
PE,2604403,CHA DE ALEGRIA,"1 4.216.565,43","1 .595.057,41","4.441.019,88","1.049.544,84","7 .085.622,13","21.302.187,56"
PE,2604502,CHA GRANDE,"2 7.285.748,88","3 .061.381,88","3.262.498,83","1.209.630,52","7 .533.511,23","34.819.260,11"
PE,2604601,CONDADO,"2 4.260.146,25","2 .721.918,04","7.464.591,68",-,"1 0.186.509,72","34.446.655,97"
PE,2604700,CORRENTES,"1 6.441.413,52","1 .844.678,91","2.996.576,42","1.332.862,73","6 .174.118,06","22.615.531,58"
PE,2604809,CORTES,"1 3.076.321,19","1 .467.125,31","1.522.950,28",-,"2 .990.075,59","16.066.396,78"
PE,2604908,CUMARU,"2 1.537.330,82","2 .416.426,05","9.226.954,73","1.463.918,28","13.107.299,06","34.644.629,88"
PE,2605004,CUPIRA,"3 3.735.184,14","3 .784.989,81","1 7.310.059,46","2 .947.367,67","24.042.416,94","57.777.601,08"
PE,2605103,CUSTODIA,"4 6.731.734,23","5 .243.165,03","1 0.928.213,68","4 .224.352,07","20.395.730,78","67.127.465,01"
PE,2605152,DORMENTES,"1 9.080.657,13","2 .140.794,39","4.885.065,48",-,"7 .025.859,87","26.106.517,00"
PE,2605202,ESCADA,"4 3.390.410,27","4 .868.278,18","8.460.416,95","3.313.534,16","16.642.229,29","60.032.639,56"
PE,2605301,EXU,"3 3.559.278,30","3 .765.253,69","1 2.028.430,41","2 .667.470,43","18.461.154,53","52.020.432,83"
PE,2605400,FEIRA NOVA,"2 0.411.204,74","2 .290.077,97","6.538.544,03",-,"8 .828.622,00","29.239.826,74"
PE,2605509,FERREIROS,"9 .967.212,60","1.118.292,34","2.072.926,99","3 92.690,25","3.583.909,58","13.551.122,18"
PE,2605608,FLORES,"1 8.814.734,46","2 .110.958,63","5.418.861,27","1.573.548,65","9 .103.368,55","27.918.103,01"
PE,2605707,FLORESTA,"3 0.094.878,77","3 .376.558,11","5.924.099,53",-,"9 .300.657,64","39.395.536,41"
PE,2605806,FREI MIGUELINHO,"1 3.869.912,00","1 .556.163,90","4.792.330,04",-,"6 .348.493,94","20.218.405,94"
PE,2605905,GAMELEIRA,"1 9.983.666,66","2 .242.109,44","4.387.188,87","1.614.127,60","8 .243.425,91","28.227.092,57"
PE,2606002,GARANHUNS,"1 11.909.571,84","12.555.929,37","28.380.044,36",-,"4 0.935.973,73","152.845.545,57"
PE,2606101,GLORIA DO GOITA,"2 8.019.691,43","3 .143.728,11","9.838.203,58",-,"1 2.981.931,69","41.001.623,12"
PE,2606200,GOIANA,"6 9.025.018,10","7 .744.406,82",-,"4 .929.092,78","12.673.499,60","81.698.517,70"
PE,2606309,GRANITO,"9 .724.867,58","1.091.101,94","3.306.200,66",-,"4 .397.302,60","14.122.170,18"
PE,2606408,GRAVATA,"5 5.181.496,70","6 .191.203,88","2.579.741,65",-,"8 .770.945,53","63.952.442,23"
PE,2606507,IATI,"2 0.620.416,12","2 .313.550,88","4.936.081,49",-,"7 .249.632,37","27.870.048,49"
PE,2606606,IBIMIRIM,"2 2.716.195,00","2 .548.691,19","7.827.303,19",-,"1 0.375.994,38","33.092.189,38"
PE,2606705,IBIRAJUBA,"7 .663.866,85","859.863,63","957.174,77","334.962,06","2.152.000,46","9.815.867,31"
PE,2606804,IGARASSU,"9 5.020.498,80","10.661.024,36","28.746.278,22","7 .559.904,80","46.967.207,38","141.987.706,18"
PE,2606903,IGUARACY,"1 1.925.704,96","1 .338.029,51","2.708.303,64",-,"4 .046.333,15","15.972.038,11"
PE,2607604,ILHA DE ITAMARACA,"1 2.138.806,78","1 .361.938,91","8 28.897,66","1 .066.949,90","3 .257.786,47","15.396.593,25"
PE,2607000,INAJA,"2 4.801.966,15","2 .782.708,66","1 0.632.223,68",-,"1 3.414.932,34","38.216.898,49"
PE,2607109,INGAZEIRA,"5 .714.523,55","641.152,97","737.933,29","445.404,91","1.824.491,17","7.539.014,72"
PE,2607208,IPOJUCA,"1 22.896.323,79","13.788.611,07",-,"1 1.100.528,12","2 4.889.139,19","147.785.462,98"
PE,2607307,IPUBI,"4 1.245.823,45","4 .627.661,76","1 9.264.795,29",-,"2 3.892.457,05","65.138.280,50"
PE,2607406,ITACURUBA,"4 .676.124,06","524.647,56",-,-,"5 24.647,56","5.200.771,62"
PE,2607505,ITAIBA,"3 2.442.194,56","3 .639.920,13","1 4.345.477,02",-,"1 7.985.397,15","50.427.591,71"
PE,2607653,ITAMBE,"2 8.569.353,09","3 .205.398,55","9.172.532,81",-,"1 2.377.931,36","40.947.284,45"
PE,2607703,ITAPETIM,"1 4.283.032,55","1 .602.514,82","3.892.984,09",-,"5 .495.498,91","19.778.531,46"
PE,2607752,ITAPISSUMA,"2 5.756.662,76","2 .889.822,86","2.350.008,79",-,"5 .239.831,65","30.996.494,41"
PE,2607802,ITAQUITINGA,"1 1.726.409,77","1 .315.669,16",-,-,"1 .315.669,16","13.042.078,93"
PE,2607901,JABOATAO DOS GUARARAPES,"3 73.107.694,93","41.861.601,17",-,-,"4 1.861.601,17","414.969.296,10"
PE,2607950,JAQUEIRA,"1 3.525.398,72","1 .517.510,51","3.632.141,01","6 23.903,01","5.773.554,53","19.298.953,25"
PE,2608008,JATAUBA,"2 0.799.412,76","2 .333.633,78","5.820.065,15","6 95.110,88","8.848.809,81","29.648.222,57"
PE,2608057,JATOBA,"1 0.121.690,90","1 .135.624,36","1.013.792,99",-,"2 .149.417,35","12.271.108,25"
PE,2608107,JOAO ALFREDO,"2 6.713.273,01","2 .997.151,75","9.397.910,54",-,"1 2.395.062,29","39.108.335,30"
PE,2608206,JOAQUIM NABUCO,"1 2.138.921,04","1 .361.951,73",-,"5 05.109,71","1.867.061,44","14.005.982,48"
PE,2608255,JUCATI,"1 6.731.710,67","1 .877.249,41","7.414.336,66",-,"9 .291.586,07","26.023.296,74"
PE,2608305,JUPI,"2 5.220.815,98","2 .829.702,40","1 1.761.523,57",-,"1 4.591.225,97","39.812.041,95"
PE,2608404,JUREMA,"2 0.010.363,09","2 .245.104,70","1 1.223.562,94","862.869,64","1 4.331.537,28","34.341.900,37"
PE,2608503,LAGOA DE ITAENGA,"1 6.290.991,19","1 .827.801,96","3.133.896,95","1.200.798,81","6 .162.497,72","22.453.488,91"
PE,2608453,LAGOA DO CARRO,"1 6.746.704,15","1 .878.931,63","5.684.360,51","7 02.299,07","8.265.591,21","25.012.295,36"
PE,2608602,LAGOA DO OURO,"1 5.468.914,41","1 .735.567,33","4.526.626,21","1.316.949,69","7 .579.143,23","23.048.057,64"
PE,2608701,LAGOA DOS GATOS,"1 5.707.763,49","1 .762.365,50","3.431.263,74","1.336.971,06","6 .530.600,30","22.238.363,79"
PE,2608750,LAGOA GRANDE,"3 5.886.074,89","4 .026.313,52","2 0.360.153,36","1 .230.974,64","25.617.441,52","61.503.516,41"
PE,2608800,LAJEDO,"4 7.819.525,13","5 .365.212,02","1 3.657.877,85","3 .516.064,22","22.539.154,09","70.358.679,22"
PE,2608909,LIMOEIRO,"4 0.330.058,71","4 .524.915,61","1 3.936.680,48","3 .251.788,85","21.713.384,94","62.043.443,65"
PE,2609006,MACAPARANA,"2 4.197.152,49","2 .714.850,33","9.271.317,90",-,"1 1.986.168,23","36.183.320,72"
PE,2609105,MACHADOS,"1 3.500.783,53","1 .514.748,75","4.432.633,27",-,"5 .947.382,02","19.448.165,55"
PE,2609154,MANARI,"2 3.441.036,42","2 .630.016,30","7.019.828,22","8 96.230,55","1 0.546.075,07","33.987.111,49"
PE,2609204,MARAIAL,"1 3.255.674,70","1 .487.248,25","6.075.172,78","9 50.575,49","8.512.996,52","21.768.671,22"
PE,2609303,MIRANDIBA,"1 6.228.017,83","1 .820.736,53","6.599.821,48","6 95.997,70","9.116.555,71","25.344.573,54"
PE,2614303,MOREILANDIA,"1 0.112.971,77","1 .134.646,10","2.303.531,07",-,"3 .438.177,17","13.551.148,94"
PE,2609402,MORENO,"3 7.013.406,00","4 .152.796,80","1.968.311,72","1.458.154,42","7 .579.262,94","44.592.668,94"
PE,2609501,NAZARE DA MATA,"1 7.085.430,71","1 .916.935,77","3.209.551,00","1.446.344,73","6 .572.831,50","23.658.262,21"
PE,2609600,OLINDA,"1 55.560.328,34","17.453.417,64",-,-,"1 7.453.417,64","173.013.745,98"
PE,2609709,OROBO,"2 5.263.940,56","2 .834.540,85","7.665.979,39",-,"1 0.500.520,24","35.764.460,80"
PE,2609808,OROCO,"1 9.186.680,38","2 .152.689,89","7.530.633,50","6 21.770,59","1 0.305.093,98","29.491.774,36"
PE,2609907,OURICURI,"5 4.027.674,17","6 .061.748,33","8.591.881,70",-,"1 4.653.630,03","68.681.304,20"
PE,2610004,PALMARES,"4 6.511.557,51","5 .218.461,84","1 4.463.266,06",-,"1 9.681.727,90","66.193.285,41"
PE,2610103,PALMEIRINA,"7 .383.084,74","828.360,69","1 .147.338,55","5 47.614,77","2.523.314,01","9.906.398,75"
PE,2610202,PANELAS,"3 8.662.766,46","4 .337.850,26","1 2.674.756,37","1 .681.845,08","18.694.451,71","57.357.218,17"
PE,2610301,PARANATAMA,"1 6.182.403,14","1 .815.618,70","3.461.284,71","5 46.307,93","5.823.211,34","22.005.614,48"
PE,2610400,PARNAMIRIM,"2 1.080.181,17","2 .365.135,18","7.978.607,55","1.658.894,74","12.002.637,47","33.082.818,64"
PE,2610509,PASSIRA,"2 5.458.670,51","2 .856.388,99","9.629.767,40","2.200.346,23","14.686.502,62","40.145.173,13"
PE,2610608,PAUDALHO,"5 4.867.436,71","6 .155.967,26","1 8.640.275,38","4 .413.127,56","29.209.370,20","84.076.806,91"
PE,2610707,PAULISTA,"1 34.745.623,87","15.118.068,17","6 .397.517,22",-,"2 1.515.585,39","156.261.209,26"
PE,2610806,PEDRA,"1 8.166.659,69","2 .038.246,53","4.302.791,84",-,"6 .341.038,37","24.507.698,06"
PE,2610905,PESQUEIRA,"6 3.200.400,47","7 .090.901,62","2 3.348.535,90",-,"3 0.439.437,52","93.639.837,99"
PE,2611002,PETROLANDIA,"3 9.273.101,84","4 .406.328,12","9.736.762,76",-,"1 4.143.090,88","53.416.192,72"
PE,2611101,PETROLINA,"3 94.183.964,08","44.226.297,44","1 58.077.341,31",-,"2 02.303.638,75","596.487.602,83"
PE,2611200,POCAO,"1 2.267.446,67","1 .376.371,94","4.025.115,61",-,"5 .401.487,55","17.668.934,22"
PE,2611309,POMBOS,"2 2.125.944,66","2 .482.466,82","2.495.270,79",-,"4 .977.737,61","27.103.682,27"
PE,2611408,PRIMAVERA,"1 1.124.564,35","1 .248.143,85","1.507.865,81","9 08.974,72","3.664.984,38","14.789.548,73"
PE,2611507,QUIPAPA,"2 0.120.842,43","2 .257.500,16","4.074.920,68","6 18.908,40","6.951.329,24","27.072.171,67"
PE,2611533,QUIXABA,"1 2.559.427,35","1 .409.131,32","3.901.118,67","1.050.607,22","6 .360.857,21","18.920.284,56"
PE,2611606,RECIFE,"6 55.791.117,89","73.577.861,30",-,-,"7 3.577.861,30","729.368.979,19"
PE,2611705,RIACHO DAS ALMAS,"2 6.320.246,78","2 .953.055,35","1 1.606.570,95","2 .250.827,15","16.810.453,45","43.130.700,23"
PE,2611804,RIBEIRAO,"2 6.918.342,71","3 .020.159,97","2.842.922,85","2.209.831,65","8 .072.914,47","34.991.257,18"
PE,2611903,RIO FORMOSO,"2 8.961.737,90","3 .249.422,99","1 1.149.805,30","2 .366.124,86","16.765.353,15","45.727.091,05"
PE,2612000,SAIRE,"9 .203.876,63","1.032.648,26","1.347.572,99","7 48.731,67","3.128.952,92","12.332.829,55"
UF,Código IBGE,Entidade,"Receita da contribuição de estados e
municípios ao Fundeb","Complementação
VAAF","Complementação
VAAT","Complementação
VAAR","Complementação da
União Total","Total das receitas
previstas"
PE,2612109,SALGADINHO,"6 .634.058,79","744.322,15","1 .237.175,55",-,"1 .981.497,70","8.615.556,49"
PE,2612208,SALGUEIRO,"5 0.289.259,14","5 .642.309,01","1 3.231.349,17","2 .263.724,18","21.137.382,36","71.426.641,50"
PE,2612307,SALOA,"1 7.553.212,05","1 .969.419,48","4.388.444,16","1.549.024,90","7 .906.888,54","25.460.100,59"
PE,2612406,SANHARO,"2 0.896.849,55","2 .344.565,91","7.685.618,40",-,"1 0.030.184,31","30.927.033,86"
PE,2612455,SANTA CRUZ,"2 0.454.268,69","2 .294.909,62","7.850.658,32",-,"1 0.145.567,94","30.599.836,63"
PE,2612471,SANTA CRUZ DA BAIXA VERDE,"1 2.323.642,44","1 .382.676,94","3.996.226,82","1.010.754,34","6 .389.658,10","18.713.300,54"
PE,2612505,SANTA CRUZ DO CAPIBARIBE,"9 1.911.844,76","10.312.242,39","34.972.407,18",-,"4 5.284.649,57","137.196.494,33"
PE,2612554,SANTA FILOMENA,"1 4.918.329,81","1 .673.793,33","3.867.974,28","5 40.738,80","6.082.506,41","21.000.836,22"
PE,2612604,SANTA MARIA DA BOA VISTA,"5 2.464.581,82","5 .886.373,91","1 8.492.000,42","3 .900.637,34","28.279.011,67","80.743.593,49"
PE,2612703,SANTA MARIA DO CAMBUCA,"1 3.827.048,51","1 .551.354,74","3.225.242,34","5 17.894,65","5.294.491,73","19.121.540,24"
PE,2612802,SANTA TEREZINHA,"1 0.498.457,33","1 .177.896,46","1.225.114,21","7 97.908,57","3.200.919,24","13.699.376,57"
PE,2612901,SAO BENEDITO DO SUL,"1 2.193.301,43","1 .368.053,05","3.487.552,42",-,"4 .855.605,47","17.048.906,90"
PE,2613008,SAO BENTO DO UNA,"5 5.127.122,69","6 .185.103,27","1 7.155.053,58",-,"2 3.340.156,85","78.467.279,54"
PE,2613107,SAO CAITANO,"3 3.049.736,68","3 .708.084,59","1 2.213.842,05","1 .245.938,26","17.167.864,90","50.217.601,58"
PE,2613206,SAO JOAO,"2 6.784.588,48","3 .005.153,14","7.472.465,71","2.257.918,95","12.735.537,80","39.520.126,28"
PE,2613305,SAO JOAQUIM DO MONTE,"2 0.525.227,40","2 .302.870,98","5.024.963,74","6 77.773,22","8.005.607,94","28.530.835,34"
PE,2613404,SAO JOSE DA COROA GRANDE,"2 4.107.302,68","2 .704.769,44","7.730.513,80",-,"1 0.435.283,24","34.542.585,92"
PE,2613503,SAO JOSE DO BELMONTE,"3 3.260.575,45","3 .731.740,09","8.708.724,95","2.832.193,97","15.272.659,01","48.533.234,46"
PE,2613602,SAO JOSE DO EGITO,"2 7.746.139,69","3 .113.036,39","7.739.919,12","1.195.457,48","12.048.412,99","39.794.552,68"
PE,2613701,SAO LOURENCO DA MATA,"7 9.186.562,46","8 .884.502,63","2 2.836.805,16","2 .874.967,29","34.596.275,08","113.782.837,54"
PE,2613800,SAO VICENTE FERRER,"1 5.925.400,94","1 .786.783,79","3.749.703,12","1.345.589,58","6 .882.076,49","22.807.477,43"
PE,2613909,SERRA TALHADA,"7 7.615.085,29","8 .708.187,45","2 4.609.620,70","6 .360.315,21","39.678.123,36","117.293.208,65"
PE,2614006,SERRITA,"2 3.834.817,04","2 .674.197,34","8.602.876,32",-,"1 1.277.073,66","35.111.890,70"
PE,2614105,SERTANIA,"2 7.306.207,06","3 .063.677,23","6.937.234,91","1.120.164,05","11.121.076,19","38.427.283,25"
PE,2614204,SIRINHAEM,"4 2.245.408,51","4 .739.812,30","1 4.219.633,43","3 .596.379,00","22.555.824,73","64.801.233,24"
PE,2614402,SOLIDAO,"8 .471.675,67","950.497,44","2 .440.973,94","7 54.150,52","4.145.621,90","12.617.297,57"
PE,2614501,SURUBIM,"3 8.035.048,98","4 .267.422,17","5.342.043,68","1.657.654,94","11.267.120,79","49.302.169,77"
PE,2614600,TABIRA,"2 6.557.469,72","2 .979.671,07","8.557.787,10","1.201.797,79","12.739.255,96","39.296.725,68"
PE,2614709,TACAIMBO,"1 0.494.114,91","1 .177.409,26","65.203,72","3 92.040,96","1.634.653,94","12.128.768,85"
PE,2614808,TACARATU,"2 2.402.260,26","2 .513.468,62","6.685.967,83","1.722.594,62","10.922.031,07","33.324.291,33"
PE,2614857,TAMANDARE,"2 6.435.252,85","2 .965.958,70","1.163.045,00",-,"4 .129.003,70","30.564.256,55"
PE,2615003,TAQUARITINGA DO NORTE,"2 3.555.043,99","2 .642.807,61","5.876.784,45",-,"8 .519.592,06","32.074.636,05"
PE,2615102,TEREZINHA,"9 .847.041,89","1.104.809,54","4.007.894,68",-,"5 .112.704,22","14.959.746,11"
PE,2615201,TERRA NOVA,"9 .850.093,81","1.105.151,95","2.132.254,02","4 42.515,41","3.679.921,38","13.530.015,19"
PE,2615300,TIMBAUBA,"3 9.456.647,41","4 .426.921,40","9.971.375,63","1.577.435,92","15.975.732,95","55.432.380,36"
PE,2615409,TORITAMA,"4 9.092.481,16","5 .508.033,99","1 7.783.869,06",-,"2 3.291.903,05","72.384.384,21"
PE,2615508,TRACUNHAEM,"1 0.669.677,05","1 .197.106,82","1.829.569,41",-,"3 .026.676,23","13.696.353,28"
PE,2615607,TRINDADE,"3 3.489.415,77","3 .757.415,31","1 2.758.814,85",-,"1 6.516.230,16","50.005.645,93"
PE,2615706,TRIUNFO,"1 6.707.350,31","1 .874.516,24","4.227.867,70","7 55.452,38","6.857.836,32","23.565.186,63"
PE,2615805,TUPANATINGA,"3 0.044.519,74","3 .370.907,97","1 1.866.785,42","2 .212.854,42","17.450.547,81","47.495.067,55"
PE,2615904,TUPARETAMA,"8 .809.722,12","988.425,27","2 .247.113,23","3 73.081,87","3.608.620,37","12.418.342,49"
PE,2616001,VENTUROSA,"1 5.699.691,21","1 .761.459,82","3.460.394,12","1.383.322,99","6 .605.176,93","22.304.868,14"
PE,2616100,VERDEJANTE,"1 1.676.622,48","1 .310.083,17","3.991.976,23","4 71.020,57","5.773.079,97","17.449.702,45"
PE,2616183,VERTENTE DO LERIO,"1 0.890.410,05","1 .221.872,42","4.153.919,04","8 87.886,08","6.263.677,54","17.154.087,59"
PE,2616209,VERTENTES,"2 0.227.597,77","2 .269.477,80","7.369.862,11","1.487.247,92","11.126.587,83","31.354.185,60"
PE,2616308,VICENCIA,"2 8.906.216,85","3 .243.193,69","8.403.009,97",-,"1 1.646.203,66","40.552.420,51"
PE,2616407,VITORIA DE SANTO ANTAO,"9 2.253.021,73","10.350.521,46","5 .160.224,55","7.012.130,06","22.522.876,07","114.775.897,80"
PE,2616506,XEXEU,"1 8.926.397,59","2 .123.486,91","3.943.663,71","1.495.387,91","7 .562.538,53","26.488.936,12"
PE,26,GOVERNO DO ESTADO,"3 .877.254.241,91","435.016.679,95",-,-,"4 35.016.679,95","4.312.270.921,86"
PI,2200053,ACAUA,"5 .617.820,16","1.854.405,56","2 41.141,25",-,"2 .095.546,81","7.713.366,97"
