UF,Código IBGE,Entidade,"Receita da contribuição de estados e
municípios ao Fundeb","Complementação
VAAF","Complementação
VAAT","Complementação
VAAR","Complementação da
União Total","Total das receitas
previstas"
AM,1301654,GUAJARA,"1 3.580.244,97","3 .837.263,70","5.968.170,27","1.192.302,61","10.997.736,58","24.577.981,55"
AM,1301704,HUMAITA,"5 5.749.294,76","15.752.642,56","26.110.677,09","4 .723.247,51","46.586.567,16","102.335.861,92"
AM,1301803,IPIXUNA,"2 1.553.877,97","6 .090.310,87","1 5.018.174,23","781.525,46","2 1.890.010,56","43.443.888,53"
AM,1301852,IRANDUBA,"6 4.655.318,53","18.269.148,11","28.283.743,83",-,"4 6.552.891,94","111.208.210,47"
AM,1301902,ITACOATIARA,"9 3.290.456,34","26.360.355,23","32.308.310,51","7 .762.778,80","66.431.444,54","159.721.900,88"
AM,1301951,ITAMARATI,"1 7.068.256,93","4 .822.843,98","1 0.276.380,20",-,"1 5.099.224,18","32.167.481,11"
AM,1302009,ITAPIRANGA,"1 0.503.898,77","2 .968.004,59","5.234.000,40","8 41.565,27","9.043.570,26","19.547.469,03"
AM,1302108,JAPURA,"2 1.202.643,89","5 .991.065,40","1 4.855.085,51","1 .373.899,92","22.220.050,83","43.422.694,72"
AM,1302207,JURUA,"1 5.388.046,93","4 .348.080,17","8.962.234,81","5 80.627,06","1 3.890.942,04","29.278.988,97"
AM,1302306,JUTAI,"4 7.438.059,62","13.404.201,80","31.584.078,59","3 .320.315,60","48.308.595,99","95.746.655,61"
AM,1302405,LABREA,"4 8.682.090,01","13.755.717,74","29.166.431,35","3 .673.973,95","46.596.123,04","95.278.213,05"
AM,1302504,MANACAPURU,"1 02.462.181,74","28.951.938,00","46.083.798,57",-,"7 5.035.736,57","177.497.918,31"
AM,1302553,MANAQUIRI,"2 5.163.007,06","7 .110.114,27","1 1.832.262,85","2 .060.992,02","21.003.369,14","46.166.376,20"
AM,1302603,MANAUS,"1 .288.107.112,42","363.970.360,83",-,-,"3 63.970.360,83","1.652.077.473,25"
AM,1302702,MANICORE,"6 8.598.155,49","19.383.244,74","39.921.061,85",-,"5 9.304.306,59","127.902.462,08"
