IBGE_6,IBGE_7,Município_Join,latitude,longitude,valor_vaar_2025,populacao,iqem_indice,Motivo,recebeu_valor,valor_estimado
350090,3500907.0,ALTAIR,-20.53336625422861,-49.09386318126816,222156.52,34510.0,8e-05,,True,8000.000000000001
353715,3537156.0,PEDRINHAS PAULISTA,-22.816864504934653,-50.80244212893774,184673.94,28040.0,7.16e-05,,True,7160.000000000001
351400,3514007.0,DOBRADA,-21.516189968331776,-48.35747004594885,172750.51,87590.0,7.01e-05,,True,7010.0
351590,3515905.0,FLOREAL,-20.669707638627965,-50.15492910608703,71219.12,27330.0,6.64e-05,,True,6640.0
354030,3540309.0,PONTES GESTAL,-20.174867870622965,-49.75729473739779,181996.95,23870.0,6.58e-05,,True,6580.0
355365,3553658.0,TAQUARAL,-21.069263087577628,-48.39942640119168,69747.65,26190.0,4.98e-05,,True,4980.0
351920,3519204.0,IACRI,-21.79984776053102,-50.61946525931292,92996.86,61310.0,4.86e-05,,True,4860.0
354765,3547650.0,SANTA SALETE,-20.2586355987812,-50.72003520438491,31195.15,16450.0,1.32e-05,,True,1320.0
350390,3503901.0,ARUJÁ,-23.385988279846703,-46.31899185189632,0.0,0.0,0.0,,False,0.0
350395,3503950.0,ASPÁSIA,-20.18351994534497,-50.728076095861,0.0,0.0,0.0,,False,0.0
350400,3504008.0,ASSIS,-22.60174773267543,-50.42071356328535,0.0,1014090.0,0.0024229,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
350410,3504107.0,ATIBAIA,-23.1233451249278,-46.58682603981098,0.0,1586470.0,0.0041233,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
350420,3504206.0,AURIFLAMA,-20.644100083137037,-50.57997711734786,0.0,136920.0,0.000319,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
350430,3504305.0,AVAÍ,-22.187181803251857,-49.31623015593768,0.0,0.0,0.0,,False,0.0
350440,3504404.0,AVANHANDAVA,-21.460518360888997,-49.9473242890534,0.0,112630.0,0.0003267,"Não cumprimento do disposto no art. 14, § 1º, I e V da Lei nº 14113/2020",False,0.0
350450,3504503.0,AVARÉ,-23.075232128092555,-48.894025965888126,0.0,0.0,0.0,,False,0.0
350460,3504602.0,BADY BASSITT,-20.93153587501928,-49.43765125095303,0.0,272600.0,0.0007042,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020",False,0.0
350470,3504701.0,BALBINOS,-21.89236402866932,-49.333055316829366,0.0,38870.0,0.0001093,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020",False,0.0
350480,3504800.0,BÁLSAMO,-20.709566716644,-49.55193180245614,0.0,0.0,0.0,,False,0.0
350490,3504909.0,BANANAL,-22.73381083229664,-44.33445535125917,0.0,99690.0,0.0002409,"Não cumprimento do disposto no art. 14, § 1º, I e II da Lei nº 14113/2020",False,0.0
350500,3505005.0,BARÃO DE ANTONINA,-23.58288853370661,-49.57191677888025,0.0,0.0,0.0,,False,0.0
350510,3505104.0,BARBOSA,-21.29073201998557,-49.921986518315855,0.0,56400.0,0.0001539,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
350520,3505203.0,BARIRI,-22.066790382189964,-48.71883049398208,0.0,315950.0,0.0007986,Não apresentou melhoria em nenhum dos indicadores de atendimento e de melhoria da aprendizagem com redução das desigualdades.,False,0.0
350535,3505351.0,BARRA DO CHAPÉU,-24.443839517485507,-49.08524364575783,0.0,0.0,0.0,,False,0.0
350540,3505401.0,BARRA DO TURVO,-24.888677502385143,-48.426959415350005,0.0,68760.0,0.0001431,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020",False,0.0
350560,3505609.0,BARRINHA,-21.232534559863183,-48.09506835619223,0.0,320920.0,0.0009138,"Não cumprimento do disposto no art. 14, § 1º, I e III da Lei nº 14113/2020",False,0.0
350570,3505708.0,BARUERI,-23.505255538667917,-46.87723973437879,0.0,3164730.0,0.0094157,"Não cumprimento do disposto no art. 14, § 1º, III da Lei nº 14113/2020",False,0.0
350580,3505807.0,BASTOS,-21.95024846117339,-50.74390950633835,0.0,215030.0,0.0005115,"Não cumprimento do disposto no art. 14, § 1º, I da Lei nº 14113/2020",False,0.0
