CODIGO;MUNICIPIO;VA 2024;VA 2023;População;Receita Tributária;Área Cultivada;Área Inundada;Ind. Protegida;Vegetação Nativa;Resíduos Sólidos;Cota Parte Educação;IPM;
555;PORTO FERREIRA;2.898.509.476;2.456.458.841;52649;49429650;18256,70;0,0000000;0,068189;0,0000000;0,0013060;0,0012162;0,1261910;
757;POTIM;159.121.579;124.694.735;20392;4614541;3700,30;0,0000000;0,000000;0,0000000;0,0000000;0,0004749;0,0154184;
556;POTIRENDABA;1.154.991.647;1.282.074.304;18496;8983620;28835,53;0,0000801;0,000000;0,0000000;0,0012650;0,0004303;0,0606980;
778;PRACINHA;20.503.126;13.712.542;2578;513525;5312,90;0,0000000;0,000000;0,0000000;0,0012960;0,0000688;0,0062000;
557;PRADOPOLIS;2.308.616.257;1.135.875.630;17078;11045482;11244,70;0,0000000;0,000000;0,0000000;0,0013310;0,0004576;0,0761015;
558;PRAIA GRANDE;3.759.080.322;3.547.851.777;349935;851864250;4,00;0,0000000;0,772508;0,0023381;0,0030220;0,0082846;0,2991557;
779;PRATANIA;178.295.924;157.643.388;5126;2107255;14819,33;0,0000000;0,000000;0,0000000;0,0011720;0,0001642;0,0146855;
559;PRESIDENTE ALVES;114.170.481;89.521.927;3804;2180046;24614,20;0,0000000;0,229190;0,0019596;0,0011540;0,0000301;0,0165901;
560;PRESIDENTE BERNARDES;638.526.081;531.627.444;14490;11167884;62112,40;0,0000000;0,000000;0,0000000;0,0013310;0,0003237;0,0411590;
561;PRESIDENTE EPITACIO;884.586.357;689.704.262;39505;20239175;90399,60;0,0450380;0,000000;0,0000000;0,0015570;0,0008670;0,0837416;
562;PRESIDENTE PRUDENTE;6.254.148.140;5.357.006.514;225668;247531706;42369,24;0,0000000;0,000000;0,0000000;0,0030710;0,0052903;0,3099805;
563;PRESIDENTE VENCESLAU;593.993.827;581.250.482;35201;20666122;66329,30;0,0024407;0,135483;0,0000000;0,0016840;0,0008715;0,0522011;
564;PROMISSAO;1.648.790.823;1.564.434.919;35131;18062049;62585,08;0,0085186;0,000000;0,0000000;0,0016840;0,0008013;0,0906679;
780;QUADRA;116.554.969;127.892.834;3405;4142640;17337,90;0,0000000;0,000000;0,0000000;0,0013450;0,0000996;0,0128119;
565;QUATA;876.825.933;780.697.906;13163;6567516;56816,90;0,0000000;0,000000;0,0000000;0,0013310;0,0003577;0,0495287;
566;QUEIROZ;906.320.830;781.750.345;3265;3743064;17220,20;0,0000000;0,000000;0,0000000;0,0009380;0,0000810;0,0394500;
567;QUELUZ;214.635.182;225.137.219;9159;6286756;11349,50;0,0007798;0,013388;0,0039911;0,0013360;0,0002529;0,0220151;
568;QUINTANA;324.073.791;371.927.348;7038;2394700;28300,20;0,0000000;0,000000;0,0000000;0,0012870;0,0002211;0,0246141;
569;RAFARD;730.765.613;384.499.620;8965;6879448;9654,60;0,0000000;0,000000;0,0000000;0,0011020;0,0002768;0,0298554;
570;RANCHARIA;1.872.355.769;1.916.501.369;28588;18697768;130289,90;0,0010304;0,000000;0,0000000;0,0016670;0,0008222;0,1094587;
571;REDENCAO DA SERRA;76.241.994;33.768.464;4494;1336568;16185,70;0,0028108;0,000000;0,0000000;0,0011460;0,0001310;0,0116146;
572;REGENTE FEIJO;921.080.941;811.136.210;20145;20938974;22693,46;0,0000000;0,000000;0,0000000;0,0013450;0,0004728;0,0473170;
573;REGINOPOLIS;306.008.813;289.367.050;7662;3401460;33301,60;0,0044828;0,318293;0,0023402;0,0012380;0,0001973;0,0310913;
574;REGISTRO;1.708.471.412;1.144.661.311;59947;53978070;22969,40;0,0000000;0,000000;0,0187536;0,0015570;0,0015739;0,1024897;
575;RESTINGA;332.407.523;278.955.510;6404;3850614;18953,10;0,0000000;0,000000;0,0000000;0,0012200;0,0001946;0,0210594;
576;RIBEIRA;24.008.187;23.165.511;3132;1400808;17266,20;0,0000000;0,000000;0,0094401;0,0012060;0,0000822;0,0181148;
577;RIBEIRAO BONITO;309.696.192;281.179.732;10989;3991465;32793,50;0,0000000;0,000000;0,0000000;0,0000000;0,0002702;0,0235073;
578;RIBEIRAO BRANCO;333.784.437;280.109.735;18627;2972282;45039,90;0,0000000;0,000000;0,0143074;0,0009760;0,0005853;0,0445895;
579;RIBEIRAO CORRENTE;406.229.060;243.078.316;4608;3103913;12286,80;0,0000000;0,000000;0,0000000;0,0010890;0,0001428;0,0198021;
580;RIBEIRAO DO SUL;229.728.055;333.189.494;4677;1658747;27233,70;0,0000000;0,000000;0,0000000;0,0012780;0,0001201;0,0207052;
793;RIBEIRAO DOS INDIOS;99.584.773;98.687.921;2025;657561;17187,10;0,0000000;0,000000;0,0000000;0,0012290;0,0000606;0,0111952;
758;RIBEIRAO GRANDE;38.603.942;32.356.091;7450;1737519;8733,20;0,0000000;0,417001;0,0084376;0,0013050;0,0001985;0,0217969;
581;RIBEIRAO PIRES;3.801.563.661;3.437.466.595;115559;123823774;175,50;0,0012612;0,000000;0,0022662;0,0030220;0,0023724;0,1807359;
582;RIBEIRAO PRETO;30.881.878.173;28.115.829.173;698642;1332451514;42063,94;0,0000000;0,013406;0,0000013;0,0193590;0,0127253;1,3634189;
584;RIFAINA;683.036.103;610.371.117;4049;10751001;8351,80;0,0044767;0,000000;0,0025740;0,0012290;0,0000855;0,0358997;
585;RINCAO;355.606.526;358.689.483;9098;4388142;26987,90;0,0000000;0,000000;0,0000000;0,0013310;0,0002512;0,0252428;
586;RINOPOLIS;408.332.585;377.454.457;9259;3604923;31883,10;0,0000000;0,000000;0,0000000;0,0012290;0,0000733;0,0253714;
587;RIO CLARO;12.070.388.596;11.700.847.375;201418;233588285;32866,90;0,0000000;0,324761;0,0025173;0,0028450;0,0046823;0,5348703;
588;RIO DAS PEDRAS;1.778.941.550;2.005.576.531;31328;31822779;16713,80;0,0000000;0,000000;0,0000000;0,0012840;0,0007640;0,0893431;
589;RIO GRANDE DA SERRA;312.230.627;272.399.502;44170;13177699;16,00;0,0003086;0,000000;0,0011332;0,0000000;0,0007529;0,0262644;
590;RIOLANDIA;679.362.609;458.773.831;10309;4834844;46657,90;0,0115238;0,000000;0,0000000;0,0010360;0,0002889;0,0425652;
583;RIVERSUL;192.462.846;173.469.712;5599;2697318;33073,60;0,0000000;0,000000;0,0000000;0,0013450;0,0001553;0,0184313;
730;ROSANA;2.485.632.682;2.486.335.556;17440;11580220;48914,10;0,0112267;0,000000;0,0000000;0,0012200;0,0003938;0,1170236;
591;ROSEIRA;275.549.559;276.071.013;10832;5959676;7954,70;0,0000000;0,000000;0,0000000;0,0010400;0,0003194;0,0196587;
592;RUBIACEA;136.995.008;161.285.159;2700;1423558;19963,30;0,0000000;0,000000;0,0000000;0,0013090;0,0000815;0,0139091;
593;RUBINEIA;123.989.549;103.240.640;3833;3744392;12637,53;0,0149662;0,000000;0,0000000;0,0010840;0,0001044;0,0190633;
594;SABINO;138.253.844;224.592.722;5112;1905798;17219,20;0,0122469;0,000000;0,0000000;0,0013450;0,0001310;0,0215110;
595;SAGRES;54.100.585;41.033.527;2474;469128;12559,90;0,0000000;0,000000;0,0000000;0,0013090;0,0000809;0,0087232;
596;SALES;436.927.017;353.355.977;6437;5444508;16936,10;0,0098641;0,000000;0,0000000;0,0012560;0,0001737;0,0288577;
597;SALES OLIVEIRA;503.907.985;478.329.111;11411;11117593;26909,20;0,0000000;0,000000;0,0000000;0,0012650;0,0002491;0,0306205;
598;SALESOPOLIS;205.534.383;169.911.878;15202;4174496;14372,70;0,0049065;1,022399;0,0038968;0,0013530;0,0004091;0,0352520;
599;SALMOURAO;120.859.100;101.301.675;4808;989887;14035,40;0,0000000;0,000000;0,0000000;0,0012650;0,0001298;0,0120100;
759;SALTINHO;603.227.670;548.262.445;8161;8669518;7030,40;0,0000000;0,000000;0,0000000;0,0013090;0,0002243;0,0298534;
600;SALTO;7.931.866.197;6.966.382.114;134319;160772892;4275,30;0,0000273;0,018467;0,0000897;0,0028750;0,0029338;0,3313355;
602;SALTO DE PIRAPORA;2.567.384.452;2.304.686.145;43748;35240683;17325,40;0,0000000;0,000000;0,0000000;0,0015680;0,0011346;0,1145395;
601;SALTO GRANDE;342.074.167;354.212.202;9050;6322990;24403,10;0,0011518;0,000000;0,0000000;0,0013360;0,0002247;0,0248407;
603;SANDOVALINA;1.068.513.030;1.149.528.111;3645;3541555;34560,40;0,0041237;0,000000;0,0000000;0,0013140;0,0001247;0,0552882;
604;SANTA ADELIA;485.259.321;503.433.550;14018;11602590;28021,90;0,0000000;0,000000;0,0000000;0,0013450;0,0003153;0,0318710;
605;SANTA ALBERTINA;494.581.795;257.574.258;6393;2606494;22316,67;0,0061942;0,000000;0,0000000;0,0013000;0,0001600;0,0268647;
606;SANTA BARBARA D'OESTE;6.086.500.175;6.170.757.501;183347;197302405;19933,20;0,0000000;0,000000;0,0000000;0,0030910;0,0042466;0,3031920;
608;SANTA BRANCA;153.796.434;244.650.759;13975;9522159;16983,50;0,0012217;0,000000;0,0000000;0,0011460;0,0003289;0,0194666;
609;SANTA CLARA D'OESTE;203.478.845;186.143.876;2598;1991387;14614,68;0,0061980;0,000000;0,0000000;0,0013530;0,0000800;0,0178073;
610;SANTA CRUZ DA CONCEICAO;187.701.314;170.728.893;4277;6497739;11728,40;0,0000000;0,000000;0,0000000;0,0012290;0,0001080;0,0141583;
781;SANTA CRUZ DA ESPERANCA;106.035.989;156.757.944;2116;531467;9307,80;0,0000000;0,000000;0,0000000;0,0010360;0,0000572;0,0109522;
611;SANTA CRUZ DAS PALMEIRAS;810.259.430;740.161.401;28864;15195377;22497,40;0,0000000;0,000000;0,0000000;0,0015740;0,0006599;0,0461813;
612;SANTA CRUZ DO RIO PARDO;3.120.964.045;3.323.325.886;46442;46704392;118552,50;0,0000000;0,000000;0,0000000;0,0016730;0,0010807;0,1619976;
613;SANTA ERNESTINA;99.371.704;88.378.588;6118;1852976;9667,20;0,0000000;0,000000;0,0000000;0,0009910;0,0001779;0,0111077;
