IBGE_6,IBGE_7,Município_Join,latitude,longitude
351150,3511508.0,CERQUILHO,-23.187130119553697,-47.75709652194288
351160,3511607.0,CESÁRIO LANGE,-23.21653102634401,-47.90389707854262
351170,3511706.0,CHARQUEADA,-22.53015160568654,-47.74629791594071
351190,3511904.0,CLEMENTINA,-21.5703012983037,-50.460080420448655
351200,3512001.0,COLINA,-20.746197915715133,-48.58898396954181
351210,3512100.0,COLÔMBIA,-20.26687847785503,-48.721745684340675
351220,3512209.0,CONCHAL,-22.369286446693053,-47.141159857361224
351230,3512308.0,CONCHAS,-22.965625895632645,-48.04706532808847
351240,3512407.0,CORDEIRÓPOLIS,-22.47947148369747,-47.414794745102306
351250,3512506.0,COROADOS,-21.375632022702394,-50.30346410159776
351260,3512605.0,CORONEL MACEDO,-23.630165875114688,-49.30680793971185
351270,3512704.0,CORUMBATAÍ,-22.236395030319105,-47.61108081013878
351280,3512803.0,COSMÓPOLIS,-22.651700190353246,-47.186388795371144
351290,3512902.0,COSMORAMA,-20.44252704559033,-49.77457805433547
351300,3513009.0,COTIA,-23.675130957167898,-46.96044211794979
351310,3513108.0,CRAVINHOS,-21.33956065331468,-47.744559268625466
351320,3513207.0,CRISTAIS PAULISTA,-20.37132030131485,-47.400885790162036
351330,3513306.0,CRUZÁLIA,-22.738070568765057,-50.76910993265659
351340,3513405.0,CRUZEIRO,-22.551362827547305,-45.00630481042368
351350,3513504.0,CUBATÃO,-23.865861755229048,-46.40820331995403
351360,3513603.0,CUNHA,-23.05288302858338,-44.942119319966125
351370,3513702.0,DESCALVADO,-21.881201876208742,-47.6546268026342
351380,3513801.0,DIADEMA,-23.697119899667832,-46.61134223532744
351385,3513850.0,DIRCE REIS,-20.448476459030612,-50.62811255674651
351390,3513900.0,DIVINOLÂNDIA,-21.661700379598642,-46.697421890837624
351400,3514007.0,DOBRADA,-21.516189968331776,-48.35747004594885
351410,3514106.0,DOIS CÓRREGOS,-22.39603276555569,-48.34048864056439
351420,3514205.0,DOLCINÓPOLIS,-20.11727864861038,-50.52832549448491
351430,3514304.0,DOURADO,-22.117247410746085,-48.33339742984872
351440,3514403.0,DRACENA,-21.5566602559992,-51.58408995480293
351450,3514502.0,DUARTINA,-22.393295136553643,-49.41333860655509
351460,3514601.0,DUMONT,-21.247090743985673,-47.979778981625685
351470,3514700.0,ECHAPORÃ,-22.44832313094748,-50.20068708698976
351480,3514809.0,ELDORADO,-24.49505246506111,-48.233612405170796
351490,3514908.0,ELIAS FAUSTO,-23.07062788588866,-47.37069508194799
351492,3514924.0,ELISIÁRIO,-21.16133259414445,-49.09205531495818
351495,3514957.0,EMBAÚBA,-20.95292037843824,-48.84759623688533
351500,3515004.0,EMBU DAS ARTES,-23.651365570299973,-46.851503515925835
351510,3515103.0,EMBU-GUAÇU,-23.854342804357945,-46.830693718848195
351512,3515129.0,EMILIANÓPOLIS,-21.800944058429444,-51.47217486692948
351515,3515152.0,ENGENHEIRO COELHO,-22.487136330174927,-47.17487147026161
351518,3515186.0,ESPÍRITO SANTO DO PINHAL,-22.19238710867887,-46.79332043889922
351519,3515194.0,ESPÍRITO SANTO DO TURVO,-22.6708367644574,-49.43297905488837
351520,3515202.0,ESTRELA D'OESTE,-20.265699604323693,-50.411515882909235
351530,3515301.0,ESTRELA DO NORTE,-22.485631905139847,-51.66906502226006
351535,3515350.0,EUCLIDES DA CUNHA PAULISTA,-22.518941688676772,-52.58868021240416
351540,3515400.0,FARTURA,-23.3901484411153,-49.51966363140791
351550,3515509.0,FERNANDÓPOLIS,-20.2718118260524,-50.28298146839623
351560,3515608.0,FERNANDO PRESTES,-21.310236369222594,-48.69565520579618
351565,3515657.0,FERNÃO,-22.365793807522284,-49.54247075074523
351570,3515707.0,FERRAZ DE VASCONCELOS,-23.56090093608267,-46.37395685813249
351580,3515806.0,FLORA RICA,-21.698494753337606,-51.37421280583444
351590,3515905.0,FLOREAL,-20.669707638627965,-50.154929106087025
351600,3516002.0,FLÓRIDA PAULISTA,-21.540041204128382,-51.17069045787477
351610,3516101.0,FLORÍNEA,-22.881241253297528,-50.69537796062324
351620,3516200.0,FRANCA,-20.555285909576515,-47.381062453151905
351630,3516309.0,FRANCISCO MORATO,-23.27375236316196,-46.72364053928491
351640,3516408.0,FRANCO DA ROCHA,-23.314191253867474,-46.73574070778529
351650,3516507.0,GABRIEL MONTEIRO,-21.49964769339062,-50.56481120650001
351660,3516606.0,GÁLIA,-22.32043192398995,-49.57775669572244
351670,3516705.0,GARÇA,-22.230977139767568,-49.689643951908536
351680,3516804.0,GASTÃO VIDIGAL,-20.804259529250686,-50.202647784640725
351685,3516853.0,GAVIÃO PEIXOTO,-21.791649631045033,-48.447978432174125
351690,3516903.0,GENERAL SALGADO,-20.63823577390615,-50.41581289616272
351700,3517000.0,GETULINA,-21.783229751618112,-50.02794303233269
351710,3517109.0,GLICÉRIO,-21.34031081809742,-50.19893668141387
351720,3517208.0,GUAIÇARA,-21.569533121223202,-49.762694168982954
351730,3517307.0,GUAIMBÊ,-21.878555972894738,-49.86069560991157
351740,3517406.0,GUAÍRA,-20.314061891436584,-48.36412318686215
351750,3517505.0,GUAPIAÇU,-20.742839523150913,-49.189926885865944
351760,3517604.0,GUAPIARA,-24.212517978522694,-48.55581661203434
351770,3517703.0,GUARÁ,-20.482549060156995,-47.77526680209909
351780,3517802.0,GUARAÇAÍ,-21.086425362090402,-51.279442883268246
351790,3517901.0,GUARACI,-20.3747796450057,-49.00277937485971
351800,3518008.0,GUARANI D'OESTE,-20.06690185575789,-50.344697303194614
351810,3518107.0,GUARANTÃ,-21.916121508745988,-49.58841995913966
351820,3518206.0,GUARARAPES,-21.285290006472806,-50.69516951255806
351830,3518305.0,GUARAREMA,-23.427575274495783,-46.05856184617405
351840,3518404.0,GUARATINGUETÁ,-22.793515758861588,-45.23283400059175
351850,3518503.0,GUAREÍ,-23.37049843338666,-48.21912157952051
351860,3518602.0,GUARIBA,-21.39590793697782,-48.226460886097385
351870,3518701.0,GUARUJÁ,-23.951291093686713,-46.23521521655715
